NOC,Description,Industry,Variable,Geographic Area,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,1st  5-year CAGR,2nd 5-year CAGR,10-year CAGR
#T,Total,All industries,Employment,British Columbia,2501081.37,2528951.33,2555201.35,2581779.66,2608726.28,2640253.63,2675195.71,2706042.34,2735067.18,2761458.17,2788326,1.10%,1.10%,1.10%
#T,Total,Farms,Employment,British Columbia,24233.04,24414.71,24483,24541.99,24594.91,24671.08,24748.16,24798.54,24831.41,24853.54,24891.09,0.40%,0.20%,0.30%
#T,Total,Forestry and logging,Employment,British Columbia,12198.34,11963.23,11825.26,11630.68,11450.65,11276.02,11151.49,10670.76,10244.71,9900.7,9803.01,-1.60%,-2.80%,-2.20%
#T,Total,"Fishing, hunting and trapping",Employment,British Columbia,1818.41,1748.44,1744.81,1720.61,1724,1717.34,1770.34,1774.86,1753.29,1727.09,1700.46,-1.10%,-0.20%,-0.70%
#T,Total,Support activities for agriculture and forestry,Employment,British Columbia,8627.4,8492.66,8306.43,8123.37,8044.5,8030.48,8051.03,7995.37,7904.88,7823.29,7753.11,-1.40%,-0.70%,-1.10%
#T,Total,Oil and gas extraction,Employment,British Columbia,4836.17,5044.41,5192.34,5351.36,5298.21,5252.88,5247.05,5267.57,5262.67,5258.34,5279.74,1.70%,0.10%,0.90%
#T,Total,Mining     ,Employment,British Columbia,15709.73,15959.03,16195.87,16235.93,16414.17,16430.85,16920.77,17194.19,17211.16,17093.98,16824.74,0.90%,0.50%,0.70%
#T,Total,Support activities for mining and oil and gas extraction,Employment,British Columbia,7266.53,7552.31,7710.95,7691.08,7697.72,7680.32,7841.85,7867.71,7792.65,7727.46,7593.64,1.10%,-0.20%,0.40%
#T,Total,Utilities,Employment,British Columbia,13651.84,13766.75,13849.88,13905.2,13946.59,13993.35,14072,14213.55,14237.06,14240.93,14240.76,0.50%,0.40%,0.40%
#T,Total,Construction,Employment,British Columbia,237195.6,231178.55,226686.32,225169.01,225537.65,228350.83,230783.28,231678.74,233145.7,233160.9,232905.72,-0.80%,0.40%,-0.20%
#T,Total,"Food, beverage and tobacco manufacturing",Employment,British Columbia,33487.79,33851.28,34203.33,34567.56,34923.18,35279.85,35609.72,35952.33,36287.21,36620.36,36939.61,1.00%,0.90%,1.00%
#T,Total,Wood product manufacturing,Employment,British Columbia,28597.27,28842.18,28800.82,28790.76,28611.31,28507.41,28415.26,28198.96,28030.8,27842.59,27604.75,-0.10%,-0.60%,-0.40%
#T,Total,Paper manufacturing,Employment,British Columbia,10286.32,10131.01,10010.33,9918.53,9825.56,9687.37,9622.77,9540.27,9440.42,9363.92,9312.75,-1.20%,-0.80%,-1.00%
#T,Total,Primary metal manufacturing,Employment,British Columbia,3877.76,4217.42,4144.66,4095.87,4036.34,4095.11,4096.55,4075.89,4072.09,4072.19,4081.52,1.10%,-0.10%,0.50%
#T,Total,Fabricated metal product manufacturing,Employment,British Columbia,13558.7,13893.71,14043.28,14096.06,14107.43,14123.17,14159.92,14190.45,14220.12,14232.29,14242.27,0.80%,0.20%,0.50%
#T,Total,Machinery manufacturing,Employment,British Columbia,9921.59,9921.94,9900.03,9870.48,9860.77,9890.79,9911.35,9926.32,9944.86,9954.67,9963.82,-0.10%,0.10%,0.00%
#T,Total,Ship and boat building,Employment,British Columbia,4615.98,4726.39,4814.37,4909.51,5001.32,5091.8,5141.84,5194.49,5247.17,5296.16,5353.95,2.00%,1.00%,1.50%
#T,Total,Transportation equipment manufacturing (excluding shipbuilding),Employment,British Columbia,5837.77,6104.29,6151.87,6134.34,6132.73,6195.7,6209.06,6211.68,6221.21,6230.01,6240.32,1.20%,0.10%,0.70%
#T,Total,Other Manufacturing,Employment,British Columbia,65939.09,65671.74,65712.2,65504.24,65271.81,65175.26,65275.64,65419.9,65518.31,65443.01,65414.6,-0.20%,0.10%,-0.10%
#T,Total,Wholesale trade,Employment,British Columbia,87889.85,89895.72,91052.78,91928.19,92620.32,93314.16,94224.13,94953.69,95526.95,95952.87,96349.86,1.20%,0.60%,0.90%
#T,Total,Motor vehicle and parts dealers,Employment,British Columbia,34456.54,35231.39,35822.51,36324.61,36641.64,37040.54,37505.22,37929.64,38332.24,38715.12,39089.44,1.50%,1.10%,1.30%
#T,Total,Health and personal care stores,Employment,British Columbia,26138.22,26642.14,26957.38,27222.79,27431.33,27621.71,27876.91,28087.53,28252.92,28375.72,28488.8,1.10%,0.60%,0.90%
